GEOID      , lat               , lon               , image_path                                                                                 , tile_idx, n_tiles_total, median_income
37119006407, 35.4456416        , -80.8634482       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_0.png ,        0,            10,        123058
37119006407, 35.450510200000004, -80.8634482       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_1.png ,        1,            10,        123058
37119006407, 35.4553788        , -80.8634482       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_2.png ,        2,            10,        123058
37119006407, 35.4456416        , -80.8582904       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_3.png ,        3,            10,        123058
37119006407, 35.450510200000004, -80.8582904       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_4.png ,        4,            10,        123058
37119006407, 35.4553788        , -80.8582904       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_5.png ,        5,            10,        123058
37119006407, 35.4456416        , -80.8531326       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_6.png ,        6,            10,        123058
37119006407, 35.450510200000004, -80.8531326       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_7.png ,        7,            10,        123058
37119006407, 35.4553788        , -80.8531326       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_8.png ,        8,            10,        123058
37119006407, 35.4602474        , -80.8531326       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37119006407_9.png ,        9,            10,        123058
37195000200, 35.717681999999996, -77.92104275      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000200_0.png ,        0,             6,         21382
37195000200, 35.7127565        , -77.9164065       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000200_1.png ,        1,             6,         21382
37195000200, 35.717681999999996, -77.9164065       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000200_2.png ,        2,             6,         21382
37195000200, 35.7226075        , -77.9164065       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000200_3.png ,        3,             6,         21382
37195000200, 35.717681999999996, -77.91177025      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000200_4.png ,        4,             6,         21382
37195000200, 35.7226075        , -77.91177025      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000200_5.png ,        5,             6,         21382
37195000801, 35.70984025       , -77.91191825      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000801_0.png ,        0,             6,         14991
37195000801, 35.7141165        , -77.91191825      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000801_1.png ,        1,             6,         14991
37195000801, 35.70984025       , -77.9065115       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000801_2.png ,        2,             6,         14991
37195000801, 35.7141165        , -77.9065115       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000801_3.png ,        3,             6,         14991
37195000801, 35.71839275000001 , -77.9065115       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000801_4.png ,        4,             6,         14991
37195000801, 35.7141165        , -77.90110475      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37195000801_5.png ,        5,             6,         14991
37081014408, 35.92671675       , -80.04361225      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_0.png ,        0,             7,         35485
37081014408, 35.9329635        , -80.04361225      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_1.png ,        1,             7,         35485
37081014408, 35.93921025       , -80.04361225      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_2.png ,        2,             7,         35485
37081014408, 35.92671675       , -80.0403555       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_3.png ,        3,             7,         35485
37081014408, 35.9329635        , -80.0403555       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_4.png ,        4,             7,         35485
37081014408, 35.93921025       , -80.0403555       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_5.png ,        5,             7,         35485
37081014408, 35.92671675       , -80.03709875000001, /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37081014408_6.png ,        6,             7,         35485
37183051700, 35.8255162        , -78.6657616       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_0.png ,        0,            10,        185875
37183051700, 35.8325066        , -78.6657616       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_1.png ,        1,            10,        185875
37183051700, 35.818525799999996, -78.6576622       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_2.png ,        2,            10,        185875
37183051700, 35.8255162        , -78.6576622       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_3.png ,        3,            10,        185875
37183051700, 35.8325066        , -78.6576622       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_4.png ,        4,            10,        185875
37183051700, 35.8115354        , -78.6495628       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_5.png ,        5,            10,        185875
37183051700, 35.818525799999996, -78.6495628       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_6.png ,        6,            10,        185875
37183051700, 35.8255162        , -78.6495628       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_7.png ,        7,            10,        185875
37183051700, 35.8115354        , -78.6414634       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_8.png ,        8,            10,        185875
37183051700, 35.818525799999996, -78.6414634       , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37183051700_9.png ,        9,            10,        185875
37079950102, 35.4503           , -77.64558237499999, /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_0.png ,        0,            33,         59960
37079950102, 35.469601999999995, -77.64558237499999, /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_1.png ,        1,            33,         59960
37079950102, 35.4503           , -77.62111075      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_2.png ,        2,            33,         59960
37079950102, 35.469601999999995, -77.62111075      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_3.png ,        3,            33,         59960
37079950102, 35.488904         , -77.62111075      , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_4.png ,        4,            33,         59960
37079950102, 35.430998         , -77.596639125     , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_5.png ,        5,            33,         59960
37079950102, 35.4503           , -77.596639125     , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_6.png ,        6,            33,         59960
37079950102, 35.469601999999995, -77.596639125     , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_7.png ,        7,            33,         59960
37079950102, 35.488904         , -77.596639125     , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_8.png ,        8,            33,         59960
37079950102, 35.508206         , -77.596639125     , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_9.png ,        9,            33,         59960
37079950102, 35.527508         , -77.596639125     , /Users/braydenwinnicki/Desktop/econ_project/new_pipeline/data/raw/images/37079950102_10.png,       10,            33,         59960
